,uid,ts,Z,answers
193,CBGPfcgUH2Kl8M3Mj,877.692790,0.0,"crl.www.ms.akadns.net,a1363.dscg.akamai.net,195.113.232.75,195.113.232.90"
194,CEqlD62FRi5u51r775,877.733637,0.0,"crl.www.ms.akadns.net,a1363.dscg.akamai.net,195.113.232.75,195.113.232.90"
195,CBvosC22fNDiv5Yon5,877.804506,0.0,"ui.skype.akadns.net,157.56.114.104"
196,C7vf2o4dRlsGuad8B7,877.806561,0.0,"ui.skype.akadns.net,157.56.114.104"
197,C17ZKz2T9OE1foPCRh,877.868423,0.0,"get.skype.akadns.net,157.56.114.105"
198,ChBPonA8rcvARMeLj,877.896607,0.0,"get.skype.akadns.net,157.56.114.105"
199,Cxn0xy1v7npU0RWhLj,878.165103,0.0,"download-akm.skype.com.edgesuite.net,a1306.cl.akamai.net,88.221.92.198,88.221.92.185"
200,CMViAb4E1z9RQFITEb,878.190978,0.0,"download-akm.skype.com.edgesuite.net,a1306.cl.akamai.net,88.221.92.198,88.221.92.185"
201,CjBD4V3ctrEqibEBll,873.739001,0.0,-
202,CjBD4V3ctrEqibEBll,873.851303,0.0,-
203,C0SPI91lp16ybml7fb,874.079698,1.0,-
204,C0SPI91lp16ybml7fb,874.872310,1.0,-
205,C0SPI91lp16ybml7fb,875.623010,1.0,-
206,C8nSFA4amEmbaBjEnl,896.215380,0.0,"root.skype-edf.akadns.net,tr001.skype-edf.akadns.net,13.69.158.96"
207,CugFXp3sfs6UvrBb75,901.308331,0.0,157.56.192.186
208,CpAb0C1F8je8qb8OBh,908.818916,0.0,"crl.www.ms.akadns.net,a1363.dscg.akamai.net,195.113.232.90,195.113.232.75"
209,CZV8jL2arbf1x9SOB1,908.859502,0.0,"crl.www.ms.akadns.net,a1363.dscg.akamai.net,195.113.232.90,195.113.232.75"
210,CzJRN74HW7a3pUdk4g,930.387807,0.0,"download-akm.skype.com.edgesuite.net,a1306.cl.akamai.net,88.221.92.198,88.221.92.185"
211,CiStBB44YyXOTTfBJ,930.415956,0.0,"download-akm.skype.com.edgesuite.net,a1306.cl.akamai.net,88.221.92.185,88.221.92.198"
212,C88cQy32JgRN3POE29,930.498954,0.0,"download-akm.skype.com.edgesuite.net,a1306.cl.akamai.net,88.221.92.185,88.221.92.198"
213,CZ1PQO2FZwYkBoPmK6,927.832708,0.0,-
214,CZ1PQO2FZwYkBoPmK6,927.933488,0.0,-
215,CJM2K31kqAVJYUeSDg,928.133474,1.0,-
216,CJM2K31kqAVJYUeSDg,928.884664,1.0,-
217,CJM2K31kqAVJYUeSDg,929.635679,1.0,-
218,Cmqv5n4AIKB4i8FZBc,952.180799,0.0,"ardownload.wip4.adobe.com,ardownload.adobe.com.edgesuite.net,a1953.d.akamai.net,195.113.232.81,195.113.232.91"
219,CQNKedMEI9pY5M3w4,949.634022,0.0,-
220,CQNKedMEI9pY5M3w4,949.725502,0.0,-
221,CFdjG84hyo2lQ2Broe,949.926250,1.0,-
222,CFdjG84hyo2lQ2Broe,950.676707,1.0,-
223,CFdjG84hyo2lQ2Broe,951.428384,1.0,-
224,CT6Avg29eLP0T65kc3,1095.581026,0.0,192.150.19.174
225,CyIMbP36pwHZhdGnh,1113.039805,0.0,-
226,Cay4G91BwbFoSXt84f,1127.407540,0.0,"pip.519.trouter-neu-b.cloudapp.net,40.127.110.133"
227,CBMPby4vdWxPWYhx76,1172.233591,0.0,"dsn9.skype-dsn.akadns.net,111.221.77.172,64.4.23.174,111.221.77.171,157.55.130.155,65.55.223.33,157.55.56.163,213.199.179.146,157.55.56.140"
228,CCG7zr3yR10mWCt5El,1172.240532,0.0,-
229,CCG7zr3yR10mWCt5El,1172.353648,0.0,-
230,CkH70V6CLavUbUHsa,1191.270760,0.0,172.217.18.77
231,CVnIXD1gHJJBZcLfO2,1191.272992,0.0,"clients.l.google.com,216.58.209.174"
232,CmA8dq4JeKwyfFYC0e,1191.272255,0.0,"www3.l.google.com,216.58.209.174"
233,CBjzGA3Anz3j6aK8ak,1191.295719,0.0,"googlehosted.l.googleusercontent.com,216.58.209.193"
234,CHJH261A8gWqQFyIje,1191.307198,0.0,216.58.209.174
235,C8UpoTOI5apAcAJRg,1191.307910,0.0,"gstaticadssl.l.google.com,216.58.209.163"
236,C64slu1oMVFggAcJx2,1191.320824,0.0,216.58.209.163
237,CHHpot90boszZ8yE9,1191.331077,0.0,172.217.18.68
238,CryPvX2PsSaGrtdDB7,1192.340986,0.0,172.217.16.99
239,Ciumc433GZZWxTevo7,1192.351258,0.0,"googleapis.l.google.com,216.58.209.202"
240,CnaE5WXNYos80Ipa3,1192.637586,0.0,"clients.l.google.com,216.58.209.174"
241,CwwLH136BLlIw4jNMa,1192.637947,0.0,66.102.1.239
242,CM0ElnbrbTaHLjGnd,1196.054530,0.0,"rstwh.skype-cr.akadns.net,91.190.218.66,91.190.218.55,91.190.218.65,91.190.219.39,91.190.219.40,91.190.219.42,91.190.218.59,91.190.218.63"
243,CgzhrIB56CBQMkpwl,1196.651973,0.0,"plus.l.google.com,216.58.209.174"
244,CaWR6O3gtW0vyAdeo7,1196.652375,0.0,"googlehosted.l.googleusercontent.com,216.58.209.193"
245,CYCdCE2wCjCKQ5yvPb,1198.940053,0.0,216.58.209.163
246,CCGWxYw3ItqDOJSGd,1191.277368,0.0,-
247,CCGWxYw3ItqDOJSGd,1191.396140,0.0,-
248,CPbZ0u4vmKUZb3Hm6g,1191.332093,0.0,-
249,CBtOqSkv1kNMidBt1,1191.345069,0.0,-
250,CTYx4I1kOUrnBXOgHh,1203.286423,0.0,"dsn1.skype-dsn.akadns.net,157.55.235.146,213.199.179.152,111.221.77.141,157.55.56.147,65.55.223.35,157.55.130.160,157.55.56.149,157.55.56.152"
251,Cl9K9O2suLc8j8Zvsc,1198.715254,0.0,-
252,Cl9K9O2suLc8j8Zvsc,1198.825626,0.0,-
253,CNIfT8aXMfkXkvEA3,1198.715835,0.0,-
254,CNIfT8aXMfkXkvEA3,1198.826635,0.0,-
255,CXFB0W1PjkIuczn9if,1198.716350,0.0,-
256,CXFB0W1PjkIuczn9if,1198.826760,0.0,-
257,Cipclz4MLI04Fe6N4a,1200.870149,0.0,-
258,Cipclz4MLI04Fe6N4a,1200.970460,0.0,-
259,Cw2JBdRGJs7vTMehj,1203.367263,0.0,-
260,Cw2JBdRGJs7vTMehj,1203.466153,0.0,-
261,CWgwkkIRsZaxWkfai,1201.171644,1.0,-
262,CWgwkkIRsZaxWkfai,1201.921516,1.0,-
263,CWgwkkIRsZaxWkfai,1202.672326,1.0,-
264,CWgwkkIRsZaxWkfai,1172.554034,1.0,-
265,CWgwkkIRsZaxWkfai,1173.305277,1.0,-
266,CWgwkkIRsZaxWkfai,1174.055813,1.0,-
267,CWgwkkIRsZaxWkfai,1191.587582,1.0,-
268,CWgwkkIRsZaxWkfai,1192.361317,1.0,-
269,CWgwkkIRsZaxWkfai,1193.162806,1.0,-
